ax,ay,az,gx,gy,gz
8820,-18052,3068,-4,-1164,542
8752,-17892,3184,-45,-1066,553
8836,-17728,3312,-81,-1002,557
8904,-17752,3172,-33,-1018,522
8796,-17612,3244,-42,-971,553
8840,-17252,3268,-47,-983,547
8848,-17512,3336,-39,-1000,539
8816,-17724,3248,-39,-1010,537
8896,-17724,3152,4,-1396,534
9068,-17880,3128,-6,-717,547
8884,-17528,3272,-48,-972,523
8944,-17716,3160,-36,-1027,540
8856,-17720,3136,-66,-1012,561
9000,-17972,3132,-47,-977,554
8988,-17624,3292,-60,-997,551
8888,-18008,3128,-56,-970,565
8912,-17668,3288,-85,-968,560
8884,-17596,3300,-83,-933,535
8684,-17636,3188,-86,-1094,538
8724,-17684,3288,-63,-770,550
8828,-17544,3308,-40,-953,540
8796,-17856,3224,-54,-987,532
8892,-17896,3236,-38,-1026,542
8940,-17776,3220,-47,-966,558
8976,-17760,3368,-51,-1079,554
8972,-17672,3356,-53,-984,548
8960,-17700,3244,-64,-997,538
8944,-17912,3136,-79,-969,538
8744,-17516,3276,-33,-853,522
8808,-17448,3440,-46,-898,535
9020,-18060,3208,-63,-925,544
8876,-17764,3248,-49,-968,570
8992,-17796,3208,-55,-938,535
8924,-17596,3304,-57,-965,589
8936,-17920,3180,-53,-915,557
8868,-17668,3160,-56,-982,515
